 INFO | 2022-06-16 07:57:50,289 | Util.java | 199 | Test script execution started...
 INFO | 2022-06-16 07:57:50,293 | Util.java | 199 | Log File creation done : LogFile.log
 INFO | 2022-06-16 07:57:51,148 | Util.java | 199 | Test case data set in sheet : ERT-40: Val. Login/Logout_01
 INFO | 2022-06-16 07:57:51,149 | Util.java | 199 | Flag for the data set is : YES
 INFO | 2022-06-16 07:57:57,094 | Util.java | 199 | Entered Value in the text field surabhi@endlink.com
 INFO | 2022-06-16 07:57:57,097 | Util.java | 199 | Report step generation success : Entered Value in the text field surabhi@endlink.com
 INFO | 2022-06-16 07:57:57,310 | Util.java | 199 | Entered Value in the text field Endlink@2022
 INFO | 2022-06-16 07:57:57,310 | Util.java | 199 | Report step generation success : Entered Value in the text field Endlink@2022
 INFO | 2022-06-16 07:57:57,485 | Util.java | 199 | Clicked on element Submit Button
 INFO | 2022-06-16 07:57:57,486 | Util.java | 199 | Report step generation success : Clicked on element Submit Button
 INFO | 2022-06-16 07:58:03,332 | Util.java | 199 | Logged out successfully from the application
 INFO | 2022-06-16 07:58:03,332 | Util.java | 195 | Report step generation success : Logged out successfully from the application
 INFO | 2022-06-16 07:58:04,059 | Util.java | 199 | Test case data set in sheet : ERT-41: Val. send msg to coworker_01
 INFO | 2022-06-16 07:58:04,060 | Util.java | 199 | Flag for the data set is : YES
 INFO | 2022-06-16 07:58:07,848 | Util.java | 199 | Entered Value in the text field surabhi@endlink.com
 INFO | 2022-06-16 07:58:07,849 | Util.java | 199 | Report step generation success : Entered Value in the text field surabhi@endlink.com
 INFO | 2022-06-16 07:58:08,039 | Util.java | 199 | Entered Value in the text field Endlink@2022
 INFO | 2022-06-16 07:58:08,039 | Util.java | 199 | Report step generation success : Entered Value in the text field Endlink@2022
 INFO | 2022-06-16 07:58:08,172 | Util.java | 199 | Clicked on element Submit Button
 INFO | 2022-06-16 07:58:08,190 | Util.java | 199 | Report step generation success : Clicked on element Submit Button
 INFO | 2022-06-16 07:58:12,682 | Util.java | 199 | Clicked on element Entered the Organisation:Demo_Company
 INFO | 2022-06-16 07:58:12,683 | Util.java | 199 | Report step generation success : Clicked on element Entered the Organisation:Demo_Company
 INFO | 2022-06-16 07:58:16,601 | Util.java | 199 | Clicked on element Create message button
 INFO | 2022-06-16 07:58:16,601 | Util.java | 199 | Report step generation success : Clicked on element Create message button
 INFO | 2022-06-16 07:58:16,911 | Util.java | 199 | Entered Value in the text field surabhi
 INFO | 2022-06-16 07:58:16,911 | Util.java | 199 | Report step generation success : Entered Value in the text field surabhi
 INFO | 2022-06-16 07:58:29,917 | Util.java | 199 | Entered Value in the text field Sending message to a coworker
 INFO | 2022-06-16 07:58:29,918 | Util.java | 199 | Report step generation success : Entered Value in the text field Sending message to a coworker
 INFO | 2022-06-16 07:58:30,301 | Util.java | 199 | Entered Value in the text field Hey1t8kal73
 INFO | 2022-06-16 07:58:30,302 | Util.java | 199 | Report step generation success : Entered Value in the text field Hey1t8kal73
 INFO | 2022-06-16 07:58:30,454 | Util.java | 199 | Clicked on element Send Message Button
 INFO | 2022-06-16 07:58:30,455 | Util.java | 199 | Report step generation success : Clicked on element Send Message Button
 INFO | 2022-06-16 07:58:37,948 | Util.java | 199 | Logged out successfully from the application
 INFO | 2022-06-16 07:58:37,949 | Util.java | 195 | Report step generation success : Logged out successfully from the application
 INFO | 2022-06-16 07:58:38,618 | Util.java | 199 | Entered Value in the text field surabhi+1@endlink.com
 INFO | 2022-06-16 07:58:38,619 | Util.java | 199 | Report step generation success : Entered Value in the text field surabhi+1@endlink.com
 INFO | 2022-06-16 07:58:38,863 | Util.java | 199 | Entered Value in the text field Endlink@2022
 INFO | 2022-06-16 07:58:38,863 | Util.java | 199 | Report step generation success : Entered Value in the text field Endlink@2022
 INFO | 2022-06-16 07:58:39,022 | Util.java | 199 | Clicked on element Submit Button
 INFO | 2022-06-16 07:58:39,023 | Util.java | 199 | Report step generation success : Clicked on element Submit Button
 INFO | 2022-06-16 07:58:42,984 | Util.java | 199 | Clicked on element Entered the Organisation:Demo_Company
 INFO | 2022-06-16 07:58:42,985 | Util.java | 199 | Report step generation success : Clicked on element Entered the Organisation:Demo_Company
